year,Total_Births,Total_anaemic,Total_anaemic_low,Total_anaemic_high,Total_anaemic_constant_rates,Total_anaemic_low_constant_rates,Total_anaemic_high_constant_rates,Total_anaemic_current_progress_rates,Total_anaemic_2x_current_progress_rates
2000,134014.03399999999,54796.87391200002,43695.10745200003,65582.92017499999,54796.87391200002,43695.10745200003,65582.92017499999,54796.87391200002,54796.87391200002
2001,133877.73799999995,54524.69800700001,43877.85750200006,64907.96516400004,54524.69800700001,43877.85750200006,64907.96516400004,54524.69800700002,54524.69800700001
2002,134020.44500000004,54299.03592100001,43921.964845,64426.998315,54299.03592100001,43921.964845,64426.998315,54299.035921,54299.03592100001
2003,134302.04400000002,54084.361896,43847.48965400001,64010.691029000016,54084.361896,43847.48965400001,64010.691029000016,54084.361896,54084.361896
2004,135228.14600000007,54006.658502999984,43782.42584199998,63936.52846700002,54006.658502999984,43782.42584199998,63936.52846700002,54006.658502999984,54006.658502999984
2005,135800.24200000006,53719.236616999995,43580.61508899997,63659.021766000005,53719.236616999995,43580.61508899997,63659.021766000005,53719.236616999995,53719.236616999995
2006,136909.89699999997,53572.931529999994,43325.31871600001,63606.297532000004,53572.931529999994,43325.31871600001,63606.297532000004,53572.931529999994,53572.931529999994
2007,138562.81100000005,53618.073815,43278.97363699997,63770.00779100002,53618.073815,43278.97363699997,63770.00779100002,53618.073815,53618.073815
2008,140164.40000000002,53611.001646999975,43221.792570000005,63977.05521199999,53611.001646999975,43221.792570000005,63977.05521199999,53611.001646999975,53611.001646999975
2009,141200.88199999998,53495.733706000014,43018.00388600003,63956.02500699999,53495.733706000014,43018.00388600003,63956.02500699999,53495.733706000014,53495.733706000014
2010,141633.32499999998,53224.265097999996,42767.344168999974,63775.880826,53224.265097999996,42767.344168999974,63775.880826,53224.265097999996,53224.265097999996
2011,142134.93200000006,53078.260317999986,42593.439227999974,63712.49854599999,53078.260317999986,42593.439227999974,63712.49854599999,53078.260317999986,53078.260317999986
2012,144194.052,53230.11038300003,42651.073165999995,64163.97378699997,53230.11038300003,42651.073165999995,64163.97378699997,53230.11038300003,53230.11038300003
2013,143421.5849999999,52873.593956999975,42229.118056,63883.29817400002,52873.593956999975,42229.118056,63883.29817400002,52873.593956999975,52873.593956999975
2014,143670.864,52532.952787,41711.889114000005,63792.38403499997,52532.952787,41711.889114000005,63792.38403499997,52532.952787,52532.952787
2015,142608.07700000002,52211.84349099998,41239.404080000015,63730.054059,52211.84349099998,41239.404080000015,63730.054059,52211.843490999985,52211.84349099998
2016,143238.88300000003,52289.44641200003,40897.56554400001,64214.409707,52289.44641200003,40897.56554400001,64214.409707,52289.44641200003,52289.44641200003
2017,142624.12699999998,51965.340097000015,40019.90574499999,64458.92454599999,51965.340097000015,40019.90574499999,64458.92454599999,51965.340097000015,51965.340097000015
2018,139628.70200000005,51331.846086,38803.169216999995,64161.23701299998,51331.846086,38803.169216999995,64161.23701299998,51331.846086,51331.846086
2019,137984.25300000003,50857.625515,37429.961388,64341.49065399998,50857.625515,37429.961388,64341.49065399998,50644.46633675676,50857.625515
2020,135132.597,NA,NA,NA,50344.501792,37165.34923099999,63438.71433099998,49892.851212410744,49399.308483203335
2021,133974.68899999995,NA,NA,NA,50263.638829,37205.632385,63152.645535000025,49574.515575889294,48766.68934841972
2022,133990.59399999995,NA,NA,NA,50373.80905699998,37327.481035000026,63225.044583000024,49440.65119389906,48308.99835801776
2023,134279.60399999993,NA,NA,NA,50581.25275499999,37516.871856999984,63423.70546400003,49401.38556497148,47940.70008991258
2024,134484.57000000004,NA,NA,NA,50751.614063,37676.75534900001,63582.77804200005,49325.64540964,47534.93644366727
2025,134712.11799999993,NA,NA,NA,50935.50241200004,37845.360641,63756.895456999984,49263.56123338014,47142.08057607464
2026,134907.04799999998,NA,NA,NA,51081.860424000035,37972.040194999994,63902.123269,49163.050083530725,46710.02613086025
2027,135198.3910000001,NA,NA,NA,51283.625407,38149.538611,64104.53155299997,49116.346372390006,46329.96079893751
2028,135455.59300000002,NA,NA,NA,51453.26700500002,38296.593635000005,64276.250071999995,49038.533525825456,45918.0054301369
2029,135746.89699999997,NA,NA,NA,51632.612657999976,38449.98992099998,64463.19270699999,48968.58409595277,45513.16805637075
2030,136008.95500000007,NA,NA,NA,51793.12339299998,38584.22148200001,64632.73828099999,48881.03201652017,45090.3054156917
2031,136253.57900000003,NA,NA,NA,51936.470465,38702.96515699998,64785.77007000001,48776.66198762016,44650.49314637411
2032,136648.87999999995,NA,NA,NA,52129.47251199999,38854.80186199997,65006.002097000004,48718.995411170574,44254.589128463
2033,136911.07200000004,NA,NA,NA,52259.82013300002,38957.68201000002,65154.26165200001,48602.92774674777,43802.418700752205
2034,137204.2629999999,NA,NA,NA,52412.83196400001,39076.868728,65328.85129700001,48504.85205233356,43367.026307822285
2035,137470.56100000005,NA,NA,NA,52528.68491700001,39162.795336,65467.68954099999,48373.61133946384,42898.26339578895
2036,137671.814,NA,NA,NA,52612.48520299999,39219.87034499998,65572.92853299998,48215.09736365263,42408.16356312572
2037,138003.123,NA,NA,NA,52746.51390500001,39321.01776700002,65737.47347499998,48101.4750623609,41958.92704847651
2038,138294.36299999987,NA,NA,NA,52872.15232000004,39417.218245,65888.19281899999,47978.60294128774,41500.786005940674
2039,138366.5550000001,NA,NA,NA,52894.46287600001,39424.87371699999,65923.215765,47762.67530370094,40960.25304060165
2040,138473.4389999999,NA,NA,NA,52952.432583999995,39466.199816,65992.015046,47577.33041988928,40448.32597260523
2041,138556.57599999997,NA,NA,NA,52994.50930400001,39499.26326499999,66040.46418100002,47386.1162240946,39938.35072354599
2042,138578.23800000004,NA,NA,NA,53011.929351,39506.46411999999,66060.82966699997,47166.56553822164,39397.98934133184
2043,138500.16299999997,NA,NA,NA,53014.91215000001,39507.585225,66052.72155300004,46938.5278306015,38856.784809922974
2044,138339.67200000005,NA,NA,NA,52971.824343999986,39477.356949,65991.53049500004,46666.901780704546,38281.61524444683
2045,138086.23899999997,NA,NA,NA,52926.54827900001,39448.423447999994,65914.184375,46396.42502301004,37708.42402277084
2046,137779.98999999996,NA,NA,NA,52858.45312800001,39402.94975799998,65807.207536,46106.80295155812,37118.630931061336
2047,137411.81700000004,NA,NA,NA,52780.247745,39358.16100799999,65679.939821,45814.266977893705,36537.81310518261
2048,136909.725,NA,NA,NA,52684.92273400001,39313.027722000006,65511.63681700001,45505.35761600073,35947.67245328496
2049,136276.049,NA,NA,NA,52518.227011,39204.79652699998,65265.601693000004,45146.13136581735,35321.809120146674
2050,135687.40899999993,NA,NA,NA,52397.89301499999,39140.932729000015,65063.61190899998,44826.00383555656,34736.7704886335
