year,Total_Births,Total_Stunted,Total_Stunted_low,Total_Stunted_high,Total_Stunted_constant_rates,Total_Stunted_low_constant_rates,Total_Stunted_high_constant_rates,Total_Stunted_current_progress_rates,Total_Stunted_2x_current_progress_rates,Total_anaemic,Total_anaemic_low,Total_anaemic_high,Total_anaemic_constant_rates,Total_anaemic_low_constant_rates,Total_anaemic_high_constant_rates,Total_anaemic_current_progress_rates,Total_anaemic_2x_current_progress_rates,Cumulative_Stunted_constant_rates,Cumulative_Stunted_current_progress,Cumulative_Stunted_2x_current_progress,Cumulative_Anaemic_constant_rates,Cumulative_Anaemic_current_progress,Cumulative_Anaemic_2x_current_progress
2000,134014.03399999996,45300.80900599996,42715.792543,48093.513251,45300.80900599996,42715.792543,48093.513251,45300.80900599996,45300.80900599996,54796.87391200002,43695.10745200003,65582.92017499999,54796.87391200002,43695.10745200003,65582.92017499999,54796.87391200002,54796.87391200002,45300.80900599996,45300.80900599996,45300.80900599996,54796.87391200002,54796.87391200002,54796.87391200002
2001,133877.73799999992,44830.58525300002,42362.41802500001,47461.126566999985,44830.58525300002,42362.41802500001,47461.126566999985,44830.58525300002,44830.58525300002,54524.69800700001,43877.85750200006,64907.96516400004,54524.69800700001,43877.85750200006,64907.96516400004,54524.69800700002,54524.69800700001,90131.39425899998,90131.39425899998,90131.39425899998,109321.57191900004,109321.57191900004,109321.57191900004
2002,134020.44500000004,44334.90577799998,41961.184187999985,46854.613118999965,44334.90577799998,41961.184187999985,46854.613118999965,44334.90577799998,44334.90577799998,54299.03592100001,43921.964845,64426.998315,54299.03592100001,43921.964845,64426.998315,54299.035921,54299.03592100001,134466.30003699995,134466.30003699995,134466.30003699995,163620.60784000004,163620.60784000004,163620.60784000004
2003,134302.044,43816.92868,41519.87646499999,46267.43562699997,43816.92868,41519.87646499999,46267.43562699997,43816.92868,43816.92868,54084.361896,43847.48965400001,64010.691029000016,54084.361896,43847.48965400001,64010.691029000016,54084.361896,54084.361896,178283.22871699993,178283.22871699993,178283.22871699993,217704.96973600006,217704.96973600006,217704.96973600006
2004,135228.1460000001,43421.589514999985,41115.949528000005,45873.335138,43421.589514999985,41115.949528000005,45873.335138,43421.589514999985,43421.589514999985,54006.658502999984,43782.42584199998,63936.52846700002,54006.658502999984,43782.42584199998,63936.52846700002,54006.658502999984,54006.658502999984,221704.81823199993,221704.81823199993,221704.81823199993,271711.62823900004,271711.62823900004,271711.62823900004
2005,135800.24200000006,42933.325176999984,40615.88433,45392.55990699997,42933.325176999984,40615.88433,45392.55990699997,42933.325176999984,42933.325176999984,53719.236616999995,43580.61508899997,63659.021766000005,53719.236616999995,43580.61508899997,63659.021766000005,53719.236616999995,53719.236616999995,264638.1434089999,264638.1434089999,264638.1434089999,325430.86485600006,325430.86485600006,325430.86485600006
2006,136909.89699999994,42531.42884500001,40190.612966,45034.25392500005,42531.42884500001,40190.612966,45034.25392500005,42531.42884500001,42531.42884500001,53572.931529999994,43325.31871600001,63606.297532,53572.931529999994,43325.31871600001,63606.297532,53572.931529999994,53572.931529999994,307169.5722539999,307169.5722539999,307169.5722539999,379003.79638600006,379003.79638600006,379003.79638600006
2007,138562.81100000005,42194.92171500002,39825.80070199999,44726.253423000024,42194.92171500002,39825.80070199999,44726.253423000024,42194.92171500002,42194.92171500002,53618.073815,43278.97363699997,63770.00779100002,53618.073815,43278.97363699997,63770.00779100002,53618.073815,53618.073815,349364.4939689999,349364.4939689999,349364.4939689999,432621.87020100007,432621.87020100007,432621.87020100007
2008,140164.4,41689.27229200004,39317.83597799999,44187.866118,41689.27229200004,39317.83597799999,44187.866118,41689.27229200004,41689.27229200004,53611.001646999975,43221.792570000005,63977.05521199999,53611.001646999975,43221.792570000005,63977.05521199999,53611.001646999975,53611.001646999975,391053.76626099995,391053.76626099995,391053.76626099995,486232.87184800004,486232.87184800004,486232.87184800004
2009,141200.88199999998,41027.311625999995,38730.42822199997,43429.92135199999,41027.311625999995,38730.42822199997,43429.92135199999,41027.31162599999,41027.311625999995,53495.733706000014,43018.00388600003,63956.02500699999,53495.733706000014,43018.00388600003,63956.02500699999,53495.733706000014,53495.733706000014,432081.07788699993,432081.07788699993,432081.07788699993,539728.605554,539728.605554,539728.605554
2010,141633.32499999998,40086.356929000016,37926.81192800004,42395.332878,40086.356929000016,37926.81192800004,42395.332878,40086.35692900001,40086.356929000016,53224.265098,42767.344168999974,63775.880826,53224.265098,42767.344168999974,63775.880826,53224.265098,53224.265098,472167.43481599994,472167.43481599994,472167.43481599994,592952.870652,592952.870652,592952.870652
2011,142134.93200000003,39150.57630500002,37098.67754399998,41359.697547,39150.57630500002,37098.67754399998,41359.697547,39150.57630500002,39150.57630500002,53078.260317999986,42593.439227999974,63712.49854599999,53078.260317999986,42593.439227999974,63712.49854599999,53078.260317999986,53078.260317999986,511318.01112099993,511318.01112099993,511318.01112099993,646031.1309699999,646031.1309699999,646031.1309699999
2012,144194.05199999997,38386.57780599999,36428.16516900002,40482.43900000004,38386.57780599999,36428.16516900002,40482.43900000004,38386.57780599999,38386.57780599999,53230.11038300003,42651.073165999995,64163.97378699997,53230.11038300003,42651.073165999995,64163.97378699997,53230.11038300003,53230.11038300003,549704.588927,549704.588927,549704.588927,699261.2413529999,699261.2413529999,699261.2413529999
2013,143421.58499999988,37433.27417099998,35545.703313,39469.43627199997,37433.27417099998,35545.703313,39469.43627199997,37433.27417099998,37433.27417099998,52873.593956999975,42229.118056,63883.29817400002,52873.593956999975,42229.118056,63883.29817400002,52873.593956999975,52873.593956999975,587137.863098,587137.863098,587137.863098,752134.8353099999,752134.8353099999,752134.8353099999
2014,143670.86400000003,36461.826478,34602.78214399998,38464.010047,36461.826478,34602.78214399998,38464.010047,36461.826478,36461.826478,52532.952787,41711.889114000005,63792.38403499997,52532.952787,41711.889114000005,63792.38403499997,52532.952787,52532.952787,623599.689576,623599.689576,623599.689576,804667.7880969999,804667.7880969999,804667.7880969999
2015,142608.07700000005,35786.150008,33856.82158200001,37845.74016799999,35786.150008,33856.82158200001,37845.74016799999,35786.150008,35786.150008,52211.84349099998,41239.404080000015,63730.054059,52211.84349099998,41239.404080000015,63730.054059,52211.843490999985,52211.84349099998,659385.839584,659385.839584,659385.839584,856879.6315879999,856879.6315879999,856879.6315879999
2016,143238.8830000001,35232.56681300002,33225.897739,37426.49575400002,35232.56681300002,33225.897739,37426.49575400002,35232.56681300002,35232.56681300002,52289.44641200003,40897.56554400001,64214.409707,52289.44641200003,40897.56554400001,64214.409707,52289.44641200003,52289.44641200003,694618.406397,694618.406397,694618.406397,909169.0779999999,909169.0779999999,909169.0779999999
2017,142624.12699999992,34470.204762999994,32313.261406,36863.83519599997,34470.204762999994,32313.261406,36863.83519599997,34470.204762999994,34470.204762999994,51965.340097000015,40019.90574499999,64458.92454599999,51965.340097000015,40019.90574499999,64458.92454599999,51965.340097000015,51965.340097000015,729088.61116,729088.61116,729088.61116,961134.4180969999,961134.4180969999,961134.4180969999
2018,139628.70200000005,33782.238063000026,31396.492081999993,36369.58781400003,33782.238063000026,31396.492081999993,36369.58781400003,33782.238063000026,33782.238063000026,51331.846086,38803.169216999995,64161.23701299998,51331.846086,38803.169216999995,64161.23701299998,51331.846086,51331.846086,762870.849223,762870.849223,762870.849223,1012466.2641829998,1012466.2641829998,1012466.2641829998
2019,137984.253,33009.583907000015,30430.4602,35845.52240299999,33009.583907000015,30430.4602,35845.52240299999,33009.583907000015,33009.583907000015,50857.625515,37429.961388,64341.49065399998,50857.625515,37429.961388,64341.49065399998,50644.46633675676,50857.625515,795880.43313,795880.43313,795880.43313,1063323.889698,1063110.7305197567,1063323.889698
2020,135132.597,32204.422696000005,29393.69894999998,35295.60329300001,32204.422696000005,29393.69894999998,35295.60329300001,32204.42269600001,32204.422696000005,NA,NA,NA,50344.501792,37165.34923099999,63438.71433099998,49892.851212410744,49399.308483203335,828084.855826,828084.855826,828084.855826,1113668.3914899998,1113003.5817321674,1112723.1981812033
2021,133974.68899999998,31579.299953,28553.015280000018,34973.768512,31579.299953,28553.015280000018,34973.768512,31579.299953,31579.299953,NA,NA,NA,50263.638829,37205.632385,63152.645535000025,49574.515575889294,48766.68934841972,859664.155779,859664.155779,859664.155779,1163932.030319,1162578.0973080567,1161489.887529623
2022,133990.59399999992,31104.51292300001,27818.579054000013,34789.73039200001,31104.51292300001,27818.579054000013,34789.73039200001,31118.47999382961,31104.51292300001,NA,NA,NA,50373.80905699998,37327.481035000026,63225.044583000024,49440.65119389906,48308.99835801776,890768.668702,890782.6357728296,890768.668702,1214305.8393759998,1212018.7485019558,1209798.8858876408
2023,134279.60399999993,NA,NA,NA,31277.86393600002,27980.529565999976,34970.37362599999,30661.593201392458,29879.12805554137,NA,NA,NA,50581.25275499999,37516.871856999984,63423.70546400003,49401.38556497148,47940.70008991258,922046.5326380001,921444.2289742221,920647.7967575414,1264887.0921309998,1261420.1340669272,1257739.5859775534
2024,134484.57000000004,NA,NA,NA,31441.804632,28127.11725900001,35154.35803199996,30209.14103443546,28744.551925655393,NA,NA,NA,50751.614063,37676.75534900001,63582.77804200005,49325.64540964,47534.93644366727,953488.3372700001,951653.3700086576,949392.3486831967,1315638.7061939999,1310745.7794765672,1305274.5224212206
2025,134712.11799999996,NA,NA,NA,31615.00663600001,28282.027780000015,35348.247105999995,29776.39026578661,27631.014961553876,NA,NA,NA,50935.50241200004,37845.360641,63756.895456999984,49263.56123338014,47142.08057607464,985103.3439060001,981429.7602744441,977023.3636447506,1366574.2086059998,1360009.3407099473,1352416.602997295
2026,134907.04799999995,NA,NA,NA,31764.008397,28413.757972999992,35516.83467499999,29334.23215950946,26515.13008347237,NA,NA,NA,51081.860424000035,37972.040194999994,63902.123269,49163.050083530725,46710.02613086025,1016867.3523030002,1010763.9924339536,1003538.4937282229,1417656.06903,1409172.3907934781,1399126.6291281553
2027,135198.39100000006,NA,NA,NA,31940.259554,28572.019388,35712.995097,28926.6329280506,25438.43309306551,NA,NA,NA,51283.625407,38149.538611,64104.53155299997,49116.346372390006,46329.96079893751,1048807.6118570003,1039690.6253620042,1028976.9268212884,1468939.694437,1458288.737165868,1445456.589927093
2028,135455.59300000005,NA,NA,NA,32090.642696,28706.315607000008,35881.073475999976,28509.045667022783,24365.166281569727,NA,NA,NA,51453.26700500002,38296.593635000005,64276.250071999995,49038.533525825456,45918.0054301369,1080898.2545530002,1068199.6710290269,1053342.0931028582,1520392.961442,1507327.2706916935,1491374.5953572297
2029,135746.89699999997,NA,NA,NA,32239.28408099999,28839.36756899999,36047.018480000006,28101.533511280297,23312.27202826685,NA,NA,NA,51632.612657999976,38449.98992099998,64463.19270699999,48968.58409595277,45513.16805637075,1113137.538634,1096301.2045403072,1076654.365131125,1572025.5741,1556295.8547876463,1536887.7634136004
2030,136008.95500000005,NA,NA,NA,32374.85430500002,28960.13667399999,36198.81149699997,27693.947781682335,22269.15340943347,NA,NA,NA,51793.12339299998,38584.22148200001,64632.73828099999,48881.03201652017,45090.3054156917,1145512.3929390002,1123995.1523219894,1098923.5185405586,1623818.697493,1605176.8868041665,1581978.0688292922
2031,136253.57900000006,NA,NA,NA,32492.458964999973,29064.52793399999,36331.23400600003,27286.672410728428,21243.270776807396,NA,NA,NA,51936.470465,38702.96515699998,64785.77007000001,48776.66198762016,44650.49314637411,1178004.8519040002,1151281.8247327178,1120166.789317366,1675755.167958,1653953.5487917867,1626628.5619756663
2032,136648.87999999998,NA,NA,NA,32640.59331,29196.516926,36497.28268199999,26910.68049891587,20248.768233535186,NA,NA,NA,52129.47251199999,38854.80186199997,65006.002097,48718.995411170574,44254.589128463,1210645.445214,1178192.5052316338,1140415.557550901,1727884.64047,1702672.5442029573,1670883.1511041294
2033,136911.072,NA,NA,NA,32738.520219000002,29283.278171,36607.92637500002,26510.94625353509,19254.53594125471,NA,NA,NA,52259.82013300002,38957.68201000002,65154.26165200001,48602.92774674777,43802.418700752205,1243383.9654330001,1204703.451485169,1159670.093492156,1780144.460603,1751275.4719497052,1714685.5698048817
2034,137204.2629999999,NA,NA,NA,32857.92457300003,29390.04909899999,36741.47203700001,26138.699118769877,18293.520296951177,NA,NA,NA,52412.83196400001,39076.868728,65328.85129700001,48504.85205233356,43367.026307822285,1276241.8900060002,1230842.1506039388,1177963.6137891072,1832557.2925669998,1799780.3240020387,1758052.596112704
2035,137470.56100000005,NA,NA,NA,32944.72287400003,29466.656025999982,36839.822181999974,25753.22586813758,17335.89655068579,NA,NA,NA,52528.68491700001,39162.795336,65467.68954099999,48373.61133946384,42898.26339578895,1309186.6128800001,1256595.3764720764,1195299.510339793,1885085.977484,1848153.9353415025,1800950.8595084928
2036,137671.814,NA,NA,NA,33007.345241,29521.586627000008,36911.17945200001,25361.369720872783,16388.572845249328,NA,NA,NA,52612.48520299999,39219.87034499998,65572.92853299998,48215.09736365263,42408.16356312572,1342193.958121,1281956.7461929491,1211688.0831850425,1937698.462687,1896369.0327051552,1843359.0230716185
2037,138003.123,NA,NA,NA,33091.49753099999,29597.545717000015,37004.77194600001,24995.474932826448,15471.610572700096,NA,NA,NA,52746.51390500001,39321.01776700002,65737.47347499998,48101.4750623609,41958.92704847651,1375285.4556520001,1306952.2211257755,1227159.6937577426,1990444.9765919999,1944470.5077675162,1885317.950120095
2038,138294.36299999987,NA,NA,NA,33178.59956700001,29676.317702000008,37101.076148999986,24642.55924420979,14580.230038954023,NA,NA,NA,52872.15232000004,39417.218245,65888.19281899999,47978.60294128774,41500.786005940674,1408464.0552190002,1331594.7803699854,1241739.9237966966,2043317.128912,1992449.1107088039,1926818.7361260357
2039,138366.5550000001,NA,NA,NA,33201.46243200001,29696.360069,37127.196526000014,24260.004744089092,13690.094217775806,NA,NA,NA,52894.46287600001,39424.87371699999,65923.215765,47762.67530370094,40960.25304060165,1441665.5176510003,1355854.7851140746,1255430.0180144724,2096211.591788,2040211.7860125047,1967778.9891666374
2040,138473.4389999999,NA,NA,NA,33244.223499999986,29734.846905999995,37174.53413000001,23902.06442680388,12828.586290759662,NA,NA,NA,52952.432583999995,39466.199816,65992.015046,47577.33041988928,40448.32597260523,1474909.7411510004,1379756.8495408786,1268258.6043052322,2149164.024372,2087789.116432394,2008227.3151392427
2041,138556.57599999997,NA,NA,NA,33274.39538800002,29763.150620000008,37206.79021600001,23549.664973411134,11989.359048011513,NA,NA,NA,52994.50930400001,39499.26326499999,66040.46418100002,47386.1162240946,39938.35072354599,1508184.1365390003,1403306.5145142898,1280247.9633532437,2202158.533676,2135175.2326564887,2048165.6658627887
2042,138578.23800000004,NA,NA,NA,33297.918985000004,29784.11601299999,37232.845264,23195.8786719676,11160.722154259342,NA,NA,NA,53011.929351,39506.46411999999,66060.82966699997,47166.56553822164,39397.98934133184,1541482.0555240004,1426502.3931862575,1291408.685507503,2255170.463027,2182341.79819471,2087563.6552041206
2043,138500.16299999997,NA,NA,NA,33320.512848999984,29805.380621999997,37256.25059600001,22863.31158939675,10365.955408246502,NA,NA,NA,53014.91215000001,39507.585225,66052.72155300004,46938.5278306015,38856.784809922974,1574802.5683730005,1449365.7047756542,1301774.6409157496,2308185.375177,2229280.326025312,2126420.4400140434
2044,138339.67200000005,NA,NA,NA,33299.836943999995,29788.50756200002,37231.02908900004,22506.964463268727,9573.489477775272,NA,NA,NA,52971.824343999986,39477.356949,65991.53049500004,46666.901780704546,38281.61524444683,1608102.4053170006,1471872.669238923,1311348.130393525,2361157.199521,2275947.2278060163,2164702.05525849
2045,138086.23899999997,NA,NA,NA,33305.25016999999,29794.898539999995,37234.25816300001,22183.654574441352,8822.484345429957,NA,NA,NA,52926.54827900001,39448.423447999994,65914.184375,46396.42502301004,37708.42402277084,1641407.6554870005,1494056.3238133641,1320170.614738955,2414083.7478,2322343.6528290263,2202410.479281261
2046,137779.98999999996,NA,NA,NA,33293.35774600001,29785.231956999996,37218.880625,21863.565137486166,8090.281323733807,NA,NA,NA,52858.45312800001,39402.94975799998,65807.207536,46106.80295155812,37118.630931061336,1674701.0132330004,1515919.8889508503,1328260.8960626887,2466942.200928,2368450.4557805844,2239529.1102123223
2047,137411.81700000004,NA,NA,NA,33279.031312999985,29774.98941299999,37199.02500500002,21555.717089021655,7388.67989917983,NA,NA,NA,52780.247745,39358.16100799999,65679.939821,45814.266977893705,36537.81310518261,1707980.0445460004,1537475.606039872,1335649.5759618685,2519722.4486729996,2414264.722758478,2276066.923317505
2048,136909.725,NA,NA,NA,33259.83070299999,29761.736544000007,37171.421295,21249.949512231527,6696.619154026421,NA,NA,NA,52684.92273400001,39313.027722000006,65511.63681700001,45505.35761600073,35947.67245328496,1741239.8752490005,1558725.5555521036,1342346.195115895,2572407.3714069994,2459770.080374479,2312014.5957707902
2049,136276.049,NA,NA,NA,33198.756258,29709.379118999983,37099.29379100001,20937.274613605972,6030.384340629339,NA,NA,NA,52518.227011,39204.79652699998,65265.601693,45146.13136581735,35321.809120146674,1774438.6315070004,1579662.8301657096,1348376.5794565245,2624925.598417999,2504916.2117402963,2347336.404890937
2050,135687.40899999993,NA,NA,NA,33165.608163,29683.193214000003,37056.744109000014,20639.146015353137,5371.4003987311335,NA,NA,NA,52397.89301499999,39140.932729000015,65063.61190899998,44826.00383555656,34736.7704886335,1807604.2396700005,1600301.9761810626,1353747.9798552557,2677323.4914329993,2549742.215575853,2382073.17537957
