"UN Region","Year","Prevalence of anaemia in pregnant women (aged 15-49) (%)","Number of pregnant women (aged 15-49 years) with anaemia (thousands)"
"South-Eastern Asia"," 2003","41.2 [35.8-45.8]","3000 [2606-3334]"
"South-Eastern Asia"," 2002","41.7 [36.1-46.3]","3021 [2616-3355]"
"South-Eastern Asia"," 2001","42.1 [36.4-46.8]","3040 [2626-3377]"
"South-Eastern Asia"," 2000","42.6 [36.7-47.3]","3063 [2643-3405]"
"Eastern Asia"," 2019","19.2 [11.1-31.1]","2204 [1273-3568]"
"Eastern Asia"," 2018","19.3 [11.8-30.0]","2250 [1382-3504]"
"Eastern Asia"," 2017","19.5 [12.6-29.4]","2308 [1496-3490]"
"Eastern Asia"," 2016","19.6 [13.2-28.8]","2359 [1587-3460]"
"Eastern Asia"," 2015","19.5 [13.4-28.1]","2374 [1633-3410]"
"Eastern Asia"," 2014","19.6 [13.8-27.7]","2395 [1691-3389]"
"Eastern Asia"," 2013","19.8 [14.0-27.5]","2428 [1725-3383]"
"Eastern Asia"," 2012","20.0 [14.3-27.4]","2457 [1764-3371]"
"Eastern Asia"," 2011","20.3 [14.6-27.5]","2493 [1797-3384]"
"Eastern Asia"," 2010","20.8 [14.9-27.9]","2547 [1826-3415]"
"Eastern Asia"," 2009","21.5 [15.4-28.3]","2624 [1883-3462]"
"Eastern Asia"," 2008","22.2 [16.0-28.9]","2702 [1945-3517]"
"Eastern Asia"," 2007","23.0 [16.6-29.7]","2781 [2015-3594]"
"Eastern Asia"," 2006","23.8 [17.4-30.6]","2874 [2104-3694]"
"Eastern Asia"," 2005","24.7 [18.0-31.4]","2976 [2174-3786]"
"Eastern Asia"," 2004","25.5 [18.7-32.4]","3080 [2255-3910]"
"Eastern Asia"," 2003","26.2 [19.2-33.3]","3186 [2331-4039]"
"Eastern Asia"," 2002","27.0 [19.7-34.4]","3299 [2410-4207]"
"Eastern Asia"," 2001","27.7 [20.1-35.5]","3427 [2484-4392]"
"Eastern Asia"," 2000","28.6 [20.3-37.1]","3586 [2549-4651]"
"Northern Africa and Western Asia"," 2019","32.3 [25.3-39.4]","2314 [1809-2820]"
"Northern Africa and Western Asia"," 2018","32.4 [25.7-38.8]","2325 [1848-2787]"
"Northern Africa and Western Asia"," 2017","32.5 [26.3-38.5]","2337 [1894-2773]"
"Northern Africa and Western Asia"," 2016","32.6 [26.9-38.1]","2346 [1942-2746]"
"Northern Africa and Western Asia"," 2015","32.7 [27.3-38.0]","2354 [1968-2733]"
"Northern Africa and Western Asia"," 2014","32.9 [27.7-38.0]","2360 [1988-2725]"
"Northern Africa and Western Asia"," 2013","33.1 [28.0-38.1]","2354 [1990-2707]"
"Northern Africa and Western Asia"," 2012","33.3 [28.3-38.2]","2334 [1984-2678]"
"Northern Africa and Western Asia"," 2011","33.5 [28.5-38.3]","2314 [1969-2648]"
"Northern Africa and Western Asia"," 2010","33.8 [28.8-38.7]","2293 [1954-2620]"
"Northern Africa and Western Asia"," 2009","34.2 [29.3-39.1]","2272 [1944-2593]"
"Northern Africa and Western Asia"," 2008","34.7 [29.7-39.5]","2252 [1928-2566]"
"Northern Africa and Western Asia"," 2007","35.1 [30.1-39.9]","2230 [1914-2534]"
"Northern Africa and Western Asia"," 2006","35.4 [30.4-40.2]","2209 [1896-2508]"
"Northern Africa and Western Asia"," 2005","35.8 [30.7-40.6]","2192 [1882-2484]"
"Northern Africa and Western Asia"," 2004","36.1 [31.0-40.8]","2179 [1872-2462]"
"Northern Africa and Western Asia"," 2003","36.4 [31.3-41.1]","2169 [1864-2450]"
"Northern Africa and Western Asia"," 2002","36.6 [31.5-41.3]","2159 [1861-2440]"
"Northern Africa and Western Asia"," 2001","36.8 [31.6-41.7]","2158 [1851-2444]"
"Northern Africa and Western Asia"," 2000","37.1 [31.7-42.1]","2166 [1853-2457]"
"Western Asia"," 2019","34.1 [26.1-41.9]","1173 [897-1442]"
"Western Asia"," 2018","34.1 [26.6-41.4]","1175 [917-1427]"
"Western Asia"," 2017","34.1 [26.9-41.1]","1180 [932-1423]"
"Western Asia"," 2016","34.1 [27.3-40.8]","1183 [945-1415]"
"Western Asia"," 2015","34.2 [27.5-40.7]","1186 [954-1411]"
"Western Asia"," 2014","34.3 [27.8-40.6]","1189 [963-1408]"
"Western Asia"," 2013","34.4 [28.0-40.6]","1190 [969-1404]"
"Western Asia"," 2012","34.6 [28.2-40.8]","1191 [972-1404]"
"Western Asia"," 2011","34.8 [28.4-40.9]","1191 [971-1400]"
"Western Asia"," 2010","35.1 [28.7-41.3]","1190 [971-1397]"
"Western Asia"," 2009","35.5 [29.0-41.6]","1189 [972-1395]"
"Western Asia"," 2008","35.9 [29.5-42.1]","1188 [976-1392]"
"Western Asia"," 2007","36.3 [29.9-42.6]","1187 [976-1391]"
"Western Asia"," 2006","36.8 [30.2-43.0]","1186 [975-1386]"
"Western Asia"," 2005","37.2 [30.6-43.4]","1185 [975-1384]"
"Western Asia"," 2004","37.5 [30.9-43.8]","1183 [975-1381]"
"Western Asia"," 2003","37.8 [31.2-44.1]","1182 [974-1377]"
"Western Asia"," 2002","38.1 [31.3-44.4]","1180 [969-1374]"
"Western Asia"," 2001","38.4 [31.5-44.8]","1183 [971-1379]"
"Western Asia"," 2000","38.8 [31.8-45.3]","1189 [975-1389]"
"Oceania (9)"," 2019","28.1 [19.3-38.2]","118 [81-161]"
"Oceania (9)"," 2018","28.1 [19.8-37.5]","118 [83-157]"
"Oceania (9)"," 2017","28.0 [20.2-36.9]","117 [84-154]"
"Oceania (9)"," 2016","28.0 [20.5-36.4]","116 [85-151]"
"Oceania (9)"," 2015","27.9 [20.6-36.0]","115 [85-149]"
"Oceania (9)"," 2014","27.9 [20.8-35.6]","115 [85-147]"
"Oceania (9)"," 2013","27.9 [20.8-35.4]","114 [85-145]"
"Oceania (9)"," 2012","27.9 [21.1-35.3]","114 [86-144]"
"Oceania (9)"," 2011","28.0 [21.2-35.2]","113 [85-142]"
"Oceania (9)"," 2010","28.0 [21.3-35.3]","112 [85-141]"
"Oceania (9)"," 2009","28.1 [21.6-35.4]","112 [86-141]"
"Oceania (9)"," 2008","28.3 [21.8-35.6]","111 [85-140]"
"Oceania (9)"," 2007","28.5 [22.0-35.7]","110 [85-138]"
"Oceania (9)"," 2006","28.7 [22.2-36.2]","109 [84-137]"
"Oceania (9)"," 2005","28.9 [22.4-36.4]","108 [83-136]"
"Oceania (9)"," 2004","29.2 [22.5-36.7]","107 [82-134]"
"Oceania (9)"," 2003","29.4 [22.7-37.1]","106 [81-133]"
"Oceania (9)"," 2002","29.6 [22.7-37.3]","105 [80-132]"
"Oceania (9)"," 2001","29.7 [22.6-37.7]","104 [79-132]"
"Oceania (9)"," 2000","29.9 [22.4-38.1]","104 [78-132]"
"Oceania (exc. Australia and New Zealand)"," 2019","43.5 [27.5-52.5]","82 [52-98]"
"Oceania (exc. Australia and New Zealand)"," 2018","43.8 [28.7-52.3]","81 [53-97]"
"Oceania (exc. Australia and New Zealand)"," 2017","44.0 [30.2-52.3]","81 [56-97]"
"Oceania (exc. Australia and New Zealand)"," 2016","44.3 [31.1-52.4]","81 [57-96]"
"Oceania (exc. Australia and New Zealand)"," 2015","44.4 [31.4-52.3]","81 [57-95]"
"Oceania (exc. Australia and New Zealand)"," 2014","44.6 [31.9-52.3]","81 [58-94]"
"Oceania (exc. Australia and New Zealand)"," 2013","44.8 [32.3-52.4]","80 [58-94]"
"Oceania (exc. Australia and New Zealand)"," 2012","45.0 [32.7-52.5]","80 [58-93]"
"Oceania (exc. Australia and New Zealand)"," 2011","45.1 [33.0-52.6]","80 [58-93]"
"Oceania (exc. Australia and New Zealand)"," 2010","45.3 [33.4-52.8]","79 [59-92]"
"Oceania (exc. Australia and New Zealand)"," 2009","45.5 [33.5-52.9]","79 [58-92]"
"Oceania (exc. Australia and New Zealand)"," 2008","45.7 [33.9-53.1]","79 [58-92]"
"Oceania (exc. Australia and New Zealand)"," 2007","45.9 [34.2-53.3]","79 [59-91]"
"Oceania (exc. Australia and New Zealand)"," 2006","46.1 [34.4-53.5]","78 [58-91]"
"Oceania (exc. Australia and New Zealand)"," 2005","46.2 [34.7-53.6]","78 [58-90]"
"Oceania (exc. Australia and New Zealand)"," 2004","46.3 [34.7-53.7]","77 [58-90]"
"Oceania (exc. Australia and New Zealand)"," 2003","46.4 [34.8-53.9]","77 [58-89]"
"Oceania (exc. Australia and New Zealand)"," 2002","46.4 [34.6-53.9]","76 [57-88]"
"Oceania (exc. Australia and New Zealand)"," 2001","46.4 [34.5-54.0]","75 [56-88]"
"Oceania (exc. Australia and New Zealand)"," 2000","46.5 [34.0-54.2]","75 [55-87]"
"Australia and New Zealand"," 2019","15.8 [7.4-31.8]","37 [17-74]"
"Australia and New Zealand"," 2018","15.5 [7.5-30.3]","36 [18-71]"
"Australia and New Zealand"," 2017","15.3 [7.6-29.7]","36 [18-69]"
"Australia and New Zealand"," 2016","15.1 [7.7-28.7]","35 [18-67]"
"Australia and New Zealand"," 2015","14.9 [7.7-28.1]","35 [18-65]"
"Australia and New Zealand"," 2014","14.8 [7.6-27.5]","34 [18-63]"
"Australia and New Zealand"," 2013","14.7 [7.6-27.1]","34 [17-62]"
"Australia and New Zealand"," 2012","14.7 [7.6-26.9]","34 [17-61]"
"Australia and New Zealand"," 2011","14.6 [7.7-26.9]","33 [17-61]"
"Australia and New Zealand"," 2010","14.5 [7.7-26.7]","33 [17-60]"
"Australia and New Zealand"," 2009","14.5 [7.7-26.6]","32 [17-59]"
"Australia and New Zealand"," 2008","14.6 [7.8-26.6]","32 [17-58]"
"Australia and New Zealand"," 2007","14.6 [7.9-26.5]","31 [17-57]"
"Australia and New Zealand"," 2006","14.6 [7.9-26.7]","31 [17-56]"
"Australia and New Zealand"," 2005","14.7 [7.9-27.0]","30 [16-55]"
"Australia and New Zealand"," 2004","14.8 [7.9-27.1]","29 [16-54]"
"Australia and New Zealand"," 2003","14.9 [8.0-27.4]","29 [16-53]"
"Australia and New Zealand"," 2002","15.1 [8.1-27.6]","29 [15-53]"
"Australia and New Zealand"," 2001","15.3 [8.1-28.5]","29 [15-53]"
"Australia and New Zealand"," 2000","15.6 [8.2-28.9]","29 [15-54]"
"Melanesia"," 2019","43.8 [27.3-53.0]","78 [48-94]"
"Melanesia"," 2018","44.1 [28.7-53.0]","78 [51-93]"
"Melanesia"," 2017","44.3 [30.0-52.9]","77 [52-92]"
"Melanesia"," 2016","44.6 [30.8-52.9]","77 [53-92]"
"Melanesia"," 2015","44.7 [31.2-52.9]","77 [54-91]"
"Melanesia"," 2014","44.9 [31.6-52.9]","77 [54-90]"
"Melanesia"," 2013","45.1 [32.1-53.0]","76 [54-90]"
"Melanesia"," 2012","45.3 [32.4-53.0]","76 [54-89]"
"Melanesia"," 2011","45.5 [32.9-53.3]","76 [55-89]"
"Melanesia"," 2010","45.6 [33.1-53.4]","75 [55-88]"
"Melanesia"," 2009","45.9 [33.3-53.6]","75 [55-88]"
"Melanesia"," 2008","46.1 [33.7-53.8]","75 [55-87]"
"Melanesia"," 2007","46.3 [34.0-54.0]","75 [55-87]"
"Melanesia"," 2006","46.5 [34.2-54.2]","74 [55-86]"
"Melanesia"," 2005","46.7 [34.5-54.3]","74 [54-86]"
"Melanesia"," 2004","46.8 [34.6-54.4]","73 [54-85]"
"Melanesia"," 2003","46.8 [34.6-54.6]","73 [54-84]"
"Melanesia"," 2002","46.9 [34.4-54.6]","72 [53-84]"
"Melanesia"," 2001","46.9 [34.6-54.8]","71 [52-83]"
"Melanesia"," 2000","46.9 [33.9-55.0]","70 [51-82]"
"Micronesia"," 2019","38.7 [24.9-49.4]","2 [1-2]"
"Micronesia"," 2018","38.9 [25.8-49.1]","2 [1-2]"
"Micronesia"," 2017","39.1 [26.6-49.1]","2 [1-2]"
"Micronesia"," 2016","39.2 [27.1-49.1]","2 [1-2]"
"Micronesia"," 2015","39.4 [27.4-49.1]","2 [1-2]"
"Micronesia"," 2014","39.4 [27.8-49.1]","2 [1-2]"
"Micronesia"," 2013","39.5 [28.0-49.1]","2 [1-2]"
"Micronesia"," 2012","39.6 [28.0-49.0]","2 [1-2]"
"Micronesia"," 2011","39.6 [28.1-49.1]","2 [1-2]"
"Micronesia"," 2010","39.6 [28.1-49.2]","2 [1-2]"
"Micronesia"," 2009","39.7 [28.1-49.1]","2 [1-2]"
"Micronesia"," 2008","39.8 [28.4-49.2]","2 [1-2]"
"Micronesia"," 2007","39.9 [28.6-49.4]","2 [1-2]"
"Micronesia"," 2006","39.9 [28.6-49.4]","2 [1-2]"
"Micronesia"," 2005","39.9 [28.7-49.4]","2 [1-2]"
"Micronesia"," 2004","40.0 [28.7-49.4]","2 [1-2]"
"Micronesia"," 2003","40.0 [28.7-49.3]","2 [1-2]"
"Micronesia"," 2002","40.0 [28.8-49.5]","2 [1-3]"
"Micronesia"," 2001","40.1 [28.9-49.6]","2 [1-3]"
"Micronesia"," 2000","40.2 [28.7-49.9]","2 [1-3]"
"Polynesia"," 2019","38.0 [23.3-48.9]","2 [1-2]"
"Polynesia"," 2018","38.2 [24.5-48.6]","2 [1-2]"
"Polynesia"," 2017","38.4 [25.5-48.4]","2 [1-2]"
"Polynesia"," 2016","38.6 [26.2-48.3]","2 [1-2]"
"Polynesia"," 2015","38.7 [26.5-48.3]","2 [1-2]"
"Polynesia"," 2014","38.9 [26.9-48.3]","2 [1-2]"
"Polynesia"," 2013","39.0 [27.3-48.3]","2 [1-2]"
"Polynesia"," 2012","38.9 [27.4-48.2]","2 [1-3]"
"Polynesia"," 2011","39.0 [27.6-48.3]","2 [1-3]"
"Polynesia"," 2010","39.1 [27.8-48.5]","2 [1-3]"
"Polynesia"," 2009","39.2 [28.0-48.5]","2 [2-3]"
"Polynesia"," 2008","39.3 [28.3-48.7]","2 [2-3]"
"Polynesia"," 2007","39.5 [28.3-48.8]","2 [2-3]"
"Polynesia"," 2006","39.6 [28.4-49.1]","2 [2-3]"
"Polynesia"," 2005","39.6 [28.5-49.0]","2 [2-3]"
"Polynesia"," 2004","39.6 [28.4-49.0]","2 [2-3]"
"Polynesia"," 2003","39.6 [28.3-49.2]","2 [2-3]"
"Polynesia"," 2002","39.6 [28.2-49.1]","2 [2-3]"
"Polynesia"," 2001","39.7 [28.3-49.2]","2 [2-3]"
"Polynesia"," 2000","39.7 [28.2-49.3]","2 [2-3]"
"Landlocked developing countries (LLDCs)"," 2019","38.7 [35.1-42.3]","3920 [3557-4283]"
"Landlocked developing countries (LLDCs)"," 2018","38.7 [35.5-41.7]","3885 [3565-4193]"
"Landlocked developing countries (LLDCs)"," 2017","38.6 [35.9-41.4]","3851 [3575-4127]"
"Landlocked developing countries (LLDCs)"," 2016","38.6 [36.1-41.2]","3818 [3572-4074]"
"Landlocked developing countries (LLDCs)"," 2015","38.7 [36.3-41.0]","3787 [3557-4018]"
"Landlocked developing countries (LLDCs)"," 2014","38.7 [36.4-41.0]","3751 [3531-3974]"
"Landlocked developing countries (LLDCs)"," 2013","38.8 [36.5-41.0]","3719 [3498-3934]"
"Landlocked developing countries (LLDCs)"," 2012","38.9 [36.6-41.2]","3691 [3472-3902]"
"Landlocked developing countries (LLDCs)"," 2011","39.2 [36.9-41.5]","3665 [3448-3886]"
"Landlocked developing countries (LLDCs)"," 2010","39.5 [37.2-41.9]","3648 [3429-3867]"
"Landlocked developing countries (LLDCs)"," 2009","40.0 [37.6-42.4]","3635 [3421-3857]"
"Landlocked developing countries (LLDCs)"," 2008","40.5 [38.1-42.9]","3626 [3413-3845]"
"Landlocked developing countries (LLDCs)"," 2007","41.1 [38.6-43.6]","3618 [3406-3844]"
"Landlocked developing countries (LLDCs)"," 2006","41.6 [39.1-44.2]","3606 [3389-3834]"
"Landlocked developing countries (LLDCs)"," 2005","42.0 [39.4-44.8]","3587 [3364-3820]"
"Landlocked developing countries (LLDCs)"," 2004","42.5 [39.8-45.2]","3568 [3342-3800]"
"Landlocked developing countries (LLDCs)"," 2003","42.9 [40.1-45.7]","3546 [3314-3778]"
"Landlocked developing countries (LLDCs)"," 2002","43.2 [40.2-46.0]","3521 [3282-3756]"
"Landlocked developing countries (LLDCs)"," 2001","43.5 [40.5-46.5]","3500 [3256-3745]"
"Landlocked developing countries (LLDCs)"," 2000","43.7 [40.6-47.0]","3476 [3226-3732]"
"Least Developed Countries (LDCs)"," 2019","44.0 [40.9-47.0]","8908 [8277-9517]"
"Least Developed Countries (LDCs)"," 2018","44.1 [41.3-46.8]","8839 [8278-9381]"
"Least Developed Countries (LDCs)"," 2017","44.3 [41.8-46.8]","8773 [8268-9263]"
"Least Developed Countries (LDCs)"," 2016","44.5 [42.1-46.8]","8710 [8244-9156]"
"Least Developed Countries (LDCs)"," 2015","44.7 [42.4-46.8]","8651 [8222-9061]"
"Least Developed Countries (LDCs)"," 2014","44.8 [42.7-46.9]","8585 [8181-8973]"
"Least Developed Countries (LDCs)"," 2013","45.0 [43.0-47.0]","8527 [8136-8897]"
"Least Developed Countries (LDCs)"," 2012","45.3 [43.2-47.2]","8478 [8095-8835]"
"Least Developed Countries (LDCs)"," 2011","45.5 [43.5-47.4]","8434 [8056-8779]"
"Least Developed Countries (LDCs)"," 2010","45.9 [43.8-47.7]","8402 [8030-8741]"
"Least Developed Countries (LDCs)"," 2009","46.3 [44.2-48.2]","8378 [8007-8722]"
"Least Developed Countries (LDCs)"," 2008","46.7 [44.6-48.6]","8359 [7989-8705]"
"Least Developed Countries (LDCs)"," 2007","47.1 [45.0-49.0]","8340 [7970-8686]"
"Least Developed Countries (LDCs)"," 2006","47.5 [45.4-49.5]","8311 [7939-8663]"
"Least Developed Countries (LDCs)"," 2005","47.8 [45.6-49.8]","8271 [7892-8620]"
"Least Developed Countries (LDCs)"," 2004","48.1 [45.9-50.2]","8224 [7845-8582]"
"Least Developed Countries (LDCs)"," 2003","48.4 [46.2-50.5]","8160 [7787-8516]"
"Least Developed Countries (LDCs)"," 2002","48.6 [46.3-50.8]","8087 [7710-8462]"
"Least Developed Countries (LDCs)"," 2001","48.8 [46.4-51.1]","8012 [7623-8397]"
"Least Developed Countries (LDCs)"," 2000","49.0 [46.5-51.5]","7929 [7532-8333]"
"Small island developing States (SIDS)"," 2019","36.8 [31.1-42.6]","286 [242-331]"
"Small island developing States (SIDS)"," 2018","36.8 [31.5-42.3]","287 [246-331]"
"Small island developing States (SIDS)"," 2017","36.9 [31.8-42.1]","289 [249-330]"
"Small island developing States (SIDS)"," 2016","36.9 [32.1-41.9]","290 [252-330]"
"Small island developing States (SIDS)"," 2015","37.0 [32.3-41.8]","292 [255-330]"
"Small island developing States (SIDS)"," 2014","37.1 [32.4-41.8]","293 [256-330]"
"Small island developing States (SIDS)"," 2013","37.1 [32.6-41.7]","294 [258-330]"
"Small island developing States (SIDS)"," 2012","37.3 [32.7-41.7]","295 [259-330]"
"Small island developing States (SIDS)"," 2011","37.4 [32.9-41.8]","296 [261-331]"
"Small island developing States (SIDS)"," 2010","37.6 [33.1-42.1]","297 [262-333]"
"Small island developing States (SIDS)"," 2009","37.9 [33.4-42.3]","299 [263-334]"
"Small island developing States (SIDS)"," 2008","38.2 [33.7-42.6]","301 [266-336]"
"Small island developing States (SIDS)"," 2007","38.6 [34.2-43.0]","304 [269-339]"
"Small island developing States (SIDS)"," 2006","39.0 [34.4-43.4]","307 [271-341]"
"Small island developing States (SIDS)"," 2005","39.3 [34.8-43.7]","310 [274-344]"
"Small island developing States (SIDS)"," 2004","39.6 [35.0-44.1]","313 [276-348]"
"Small island developing States (SIDS)"," 2003","39.9 [35.1-44.4]","315 [277-351]"
"Small island developing States (SIDS)"," 2002","40.1 [35.3-44.7]","317 [279-354]"
"Small island developing States (SIDS)"," 2001","40.3 [35.5-45.0]","320 [282-357]"
"Small island developing States (SIDS)"," 2000","40.5 [35.6-45.3]","322 [283-361]"
