year,Total_Births,Total_Stunted,Total_Stunted_low,Total_Stunted_high,Total_Stunted_constant_rates,Total_Stunted_low_constant_rates,Total_Stunted_high_constant_rates,Total_Stunted_current_progress_rates,Total_Stunted_2x_current_progress_rates
2000,134014.03399999996,45300.80900599996,42715.792542999996,48093.513251,45300.80900599996,42715.792542999996,48093.513251,45567.10945990763,45300.80900599996
2001,133877.73799999992,44830.58525300002,42362.41802500001,47461.126566999985,44830.58525300002,42362.41802500001,47461.126566999985,45038.438166084095,44830.58525300002
2002,134020.44500000004,44334.90577799998,41961.184187999985,46854.613118999965,44334.90577799998,41961.184187999985,46854.613118999965,44346.7772522724,44334.90577799998
2003,134302.044,43816.92868,41519.87646499999,46267.43562699997,43816.92868,41519.87646499999,46267.43562699997,43609.90583403452,43816.92868
2004,135228.1460000001,43421.589514999985,41115.949528000005,45873.335138,43421.589514999985,41115.949528000005,45873.335138,42965.122203023,43421.589514999985
2005,135800.24200000006,42933.325176999984,40615.88433,45392.55990699997,42933.325176999984,40615.88433,45392.55990699997,42200.78721849626,42933.325176999984
2006,136909.89699999994,42531.42884500001,40190.612966,45034.25392500005,42531.42884500001,40190.612966,45034.25392500005,41544.74893788234,42531.42884500001
2007,138562.81100000005,42194.92171500002,39825.80070199999,44726.253423000024,42194.92171500002,39825.80070199999,44726.253423000024,41089.610579276705,42194.92171500002
2008,140164.4,41689.27229200004,39317.83597799999,44187.866118,41689.27229200004,39317.83597799999,44187.866118,40574.54239429004,41689.27229200004
2009,141200.88199999998,41027.311625999995,38730.42822199997,43429.92135199999,41027.311625999995,38730.42822199997,43429.92135199999,40055.20296163881,41027.311625999995
2010,141633.32499999998,40086.356929000016,37926.81192800004,42395.332878,40086.356929000016,37926.81192800004,42395.332878,39418.521990073365,40086.356929000016
2011,142134.93200000003,39150.57630500002,37098.67754399998,41359.697547,39150.57630500002,37098.67754399998,41359.697547,38799.624563440084,39150.57630500002
2012,144194.05199999997,38386.57780599999,36428.16516900002,40482.43900000004,38386.57780599999,36428.16516900002,40482.43900000004,38263.21367026938,38386.57780599999
2013,143421.58499999988,37433.27417099998,35545.703313,39469.43627199997,37433.27417099998,35545.703313,39469.43627199997,37486.082236897775,37433.27417099998
2014,143670.86400000003,36461.826478,34602.78214399998,38464.010047,36461.826478,34602.78214399998,38464.010047,36576.51686921782,36461.826478
2015,142608.07700000005,35786.150008,33856.82158200001,37845.74016799999,35786.150008,33856.82158200001,37845.74016799999,35839.796881936294,35786.150008
2016,143238.8830000001,35232.56681300002,33225.897739,37426.49575400002,35232.56681300002,33225.897739,37426.49575400002,35231.03304882917,35232.56681300002
2017,142624.12699999992,34470.204762999994,32313.261405999998,36863.83519599997,34470.204762999994,32313.261405999998,36863.83519599997,34442.67854727025,34470.204762999994
2018,139628.70200000005,33782.238063000026,31396.492081999993,36369.58781400003,33782.238063000026,31396.492081999993,36369.58781400003,33719.09147550558,33782.238063000026
2019,137984.253,33009.583907000015,30430.460199999998,35845.52240299999,33009.583907000015,30430.460199999998,35845.52240299999,32962.60562170482,33009.583907000015
2020,135132.597,32204.422696000005,29393.69894999998,35295.60329300001,32204.422696000005,29393.69894999998,35295.60329300001,32182.658495907006,32204.422696000005
2021,133974.68899999998,31579.299952999998,28553.015280000018,34973.768512,31579.299952999998,28553.015280000018,34973.768512,31628.50073962653,31579.299952999998
2022,133990.59399999992,31104.512923000006,27818.579054000013,34789.73039200001,31104.512923000006,27818.579054000013,34789.73039200001,31118.479993829606,31104.512923000006
2023,134279.60399999993,NA,NA,NA,31277.86393600002,27980.529565999976,34970.37362599999,30661.593201392458,29879.12805554137
2024,134484.57000000004,NA,NA,NA,31441.804632,28127.117259000006,35154.35803199996,30209.14103443546,28744.551925655393
2025,134712.11799999996,NA,NA,NA,31615.006636000006,28282.027780000015,35348.247105999995,29776.390265786606,27631.014961553876
2026,134907.04799999995,NA,NA,NA,31764.008397,28413.757972999992,35516.83467499999,29334.23215950946,26515.13008347237
2027,135198.39100000006,NA,NA,NA,31940.259554,28572.019388,35712.995097,28926.6329280506,25438.43309306551
2028,135455.59300000005,NA,NA,NA,32090.642696,28706.315607000008,35881.073475999976,28509.045667022783,24365.166281569727
2029,135746.89699999997,NA,NA,NA,32239.284080999994,28839.36756899999,36047.018480000006,28101.533511280297,23312.27202826685
2030,136008.95500000005,NA,NA,NA,32374.85430500002,28960.136673999994,36198.81149699997,27693.947781682335,22269.15340943347
2031,136253.57900000006,NA,NA,NA,32492.458964999973,29064.527933999994,36331.23400600003,27286.672410728428,21243.270776807396
2032,136648.87999999998,NA,NA,NA,32640.59331,29196.516926,36497.28268199999,26910.68049891587,20248.768233535186
2033,136911.07200000001,NA,NA,NA,32738.520218999998,29283.278170999998,36607.92637500002,26510.94625353509,19254.53594125471
2034,137204.2629999999,NA,NA,NA,32857.92457300003,29390.04909899999,36741.47203700001,26138.699118769877,18293.520296951174
2035,137470.56100000005,NA,NA,NA,32944.72287400003,29466.656025999986,36839.822181999974,25753.22586813758,17335.89655068579
2036,137671.814,NA,NA,NA,33007.345241,29521.586627000008,36911.17945200001,25361.369720872783,16388.572845249328
2037,138003.123,NA,NA,NA,33091.49753099999,29597.545717000015,37004.77194600001,24995.474932826448,15471.610572700096
2038,138294.36299999987,NA,NA,NA,33178.59956700001,29676.317702000008,37101.076148999986,24642.55924420979,14580.230038954023
2039,138366.5550000001,NA,NA,NA,33201.46243200001,29696.360069,37127.196526000014,24260.004744089092,13690.094217775806
2040,138473.4389999999,NA,NA,NA,33244.223499999986,29734.846905999995,37174.53413000001,23902.064426803878,12828.586290759662
2041,138556.57599999997,NA,NA,NA,33274.39538800002,29763.150620000008,37206.79021600001,23549.664973411138,11989.359048011513
2042,138578.23800000004,NA,NA,NA,33297.918985000004,29784.11601299999,37232.845263999996,23195.8786719676,11160.722154259342
2043,138500.16299999997,NA,NA,NA,33320.512848999984,29805.380621999997,37256.25059600001,22863.31158939675,10365.955408246502
2044,138339.67200000005,NA,NA,NA,33299.836943999995,29788.50756200002,37231.02908900004,22506.964463268727,9573.489477775272
2045,138086.23899999997,NA,NA,NA,33305.25016999999,29794.898539999995,37234.25816300001,22183.654574441352,8822.484345429957
2046,137779.98999999996,NA,NA,NA,33293.35774600001,29785.231956999996,37218.880625,21863.565137486166,8090.281323733807
2047,137411.81700000004,NA,NA,NA,33279.031312999985,29774.98941299999,37199.02500500002,21555.717089021655,7388.67989917983
2048,136909.725,NA,NA,NA,33259.83070299999,29761.736544000007,37171.421295,21249.949512231527,6696.619154026421
2049,136276.049,NA,NA,NA,33198.756258,29709.379118999983,37099.29379100001,20937.274613605972,6030.384340629339
2050,135687.40899999993,NA,NA,NA,33165.608163,29683.193214000003,37056.744109000014,20639.146015353137,5371.4003987311335
